,0
0,1842127443917.0605
1,1842104302803.9883
2,6135618928367.209
3,7046062393983.578
4,6555991553507.566
5,4137393053121.6934
6,6590922578149.489
7,3361244179068.263
8,3543208896614.168
9,2450964547400.085
10,3968415388071.57
11,3374231231564.0444
12,5225339296699.03
13,4865616758456.235
14,3179097043946.8965
15,3045057495119.8794
16,4706138437544.713
17,6044663590360.851
18,3955428335575.789
19,3907674092386.2754
20,4362813908220.3657
21,4111954281037.189
22,3872351035081.3843
23,5568663826023.379
24,5680551737693.579
25,4770108272077.21
26,5680479112533.119
27,4271694736265.816
28,2906104363234.175
29,2249708623421.73
30,6408775443028.121
31,6772887295695.395
32,4830940776550.235
33,4770199480864.941
34,7501111001029.937
35,7045898560035.387
36,4726663626570.531
37,4410568151409.878
38,3045148703907.6104
39,6183373171556.722
40,3409169347787.1504
41,6135782762315.4
42,7956342025651.757
43,3907582883598.5444
44,3500288519741.6997
45,2704848439255.8193
46,1865915949334.8105
47,4817953724054.454
48,4525407702592.176
49,3159988255089.9087
50,5273093539888.544
51,5728142146934.901
52,5320847783078.056
53,3773281200454.422
54,3910688544713.146
55,3172975307585.6895
56,5680642946481.311
57,3134640369875.079
58,4635806588933.087
59,3816383994902.353
60,5498331977411.753
61,5862443830079.023
62,1865977886064.1758
63,6590667535413.566
64,4999918441600.359
65,5134220124744.481
66,7293714602980.711
67,3615128070923.998
68,4271432601948.7104
69,1664545824047.0745
70,3565943811744.076
71,4302815553390.9478
72,2673787735602.2944
73,2673777167656.376
74,2362207183463.739
75,2985368546377.1973
76,2778284291124.0005
77,2673787735602.2944
78,2585588256278.275
79,1655221369213.03
80,2673787735602.2944
81,3691394485735.55
82,2455215757208.461
83,3528543614540.9507
84,4596121752816.566
85,3102078612186.434
86,3528543614540.9507
87,3445002686787.351
88,3528543614540.9507
89,3611126347682.1177
90,3446120319624.327
91,3528543614540.9507
92,3604256735409.338
93,3604278273454.2393
94,4341150015101.1104
95,2712122197312.457
96,2712111629366.5386
97,2400541645173.902
98,3023703008087.3604
99,2816618752834.163
100,2712122197312.457
101,2623922717988.438
102,1693555830923.193
103,2712122197312.457
104,3729728947445.7134
105,2493550218918.624
106,3566878076251.114
107,4634456214526.7295
108,3140408718814.415
109,3566878076251.114
110,3483337148497.5146
111,3566878076251.114
112,3649460809392.2803
113,3484454781334.4897
114,3566878076251.114
115,3642591197119.5005
116,3805534197432.5947
117,4542405939079.466
118,2913378121290.8125
119,2913367553344.894
120,2601797569152.257
121,3224958932065.7153
122,3017874676812.518
123,2913378121290.8125
124,2825178641966.793
125,1894811754901.5488
126,2913378121290.8125
127,3930984871424.0684
128,2694806142896.9795
129,3768134000229.4688
130,4835712138505.085
131,3341656448621.6855
132,3768134000229.4688
133,3684593072475.8696
134,3768134000229.4688
135,3850716733370.6357
136,3685710705312.845
137,3768134000229.4688
138,3843847121097.856
139,4073875429403.7344
140,4810747171050.605
141,3181719353261.952
142,3181708785316.034
143,2870138801123.3975
144,3493300164036.8555
145,3286215908783.659
146,3181719353261.952
147,3093519873937.9336
148,2163152986872.689
149,3181719353261.952
150,4199326103395.2085
151,2963147374868.1196
152,4036475232200.609
153,5104053370476.226
154,3609997680592.8267
155,4036475232200.609
156,3952934304447.0107
157,4036475232200.609
158,4119057965341.7764
159,3954051937283.9854
160,4036475232200.609
161,4112188353068.9966
162,4409301969367.66
163,5146173711014.531
164,3517145893225.878
165,3517135325279.9595
166,3205565341087.323
167,3828726704000.7817
168,3621642448747.5845
169,3517145893225.878
170,3428946413901.859
171,2498579526836.6143
172,3517145893225.878
173,4534752643359.134
174,3298573914832.046
175,4371901772164.534
176,3945424220556.752
177,4371901772164.534
178,4288360844410.9355
179,4371901772164.534
180,4454484505305.701
181,4289478477247.911
182,4371901772164.534
183,4447614893032.921
184,2809636703540.111
185,2915056473243.059
186,3049227089228.63
187,3317568321199.77
188,3739247400011.563
189,2872947733362.7954
190,2978367503065.743
191,3112538119051.314
192,3380879351022.4536
193,3802558429834.2456
194,2647560175409.5874
195,2752979945112.535
196,2887150561098.1055
197,3155491793069.2466
198,3577170871881.038
199,2855460552279.076
200,2960880321982.0244
201,3095050937967.594
202,3363392169938.735
203,3785071248750.527
204,2973428581284.4585
205,3078848350987.4067
206,3213018966972.976
207,3481360198944.117
208,3903039277755.908
209,3077008399542.6665
210,3182428169245.6147
211,3316598785231.1846
212,3584940017202.324
213,4006619096014.116
214,2871757461132.7573
215,2977177230835.7056
216,3111347846821.2754
217,3379689078792.416
218,3801368157604.208
219,3325016711098.598
220,3430436480801.546
221,3564607096787.1157
222,3832948328758.2563
223,4254627407570.049
224,3220488327437.79
225,3325908097140.7383
226,3460078713126.309
227,3728419945097.448
228,4150099023909.24
229,3008041075312.2964
230,3113460845015.2446
231,3247631461000.8145
232,3515972692971.955
233,3937651771783.747
234,3006123974165.349
235,3111543743868.296
236,3245714359853.8667
237,3514055591825.008
238,3935734670636.8
239,3087553597187.384
240,3192973366890.3306
241,3327143982875.9014
242,3595485214847.0415
243,4017164293658.834
244,2783826121601.507
245,2889245891304.4546
246,3023416507290.0234
247,3291757739261.1646
248,3713436818072.9575
249,2791454922373.591
250,2896874692076.5386
251,3031045308062.1084
252,3299386540033.2495
253,3721065618845.0415
254,2597724867448.7466
255,2703144637151.6943
256,2837315253137.265
257,3105656485108.405
258,3527335563920.198
259,2614980432489.879
260,2720400202192.827
261,2854570818178.397
262,3122912050149.538
263,3544591128961.33
264,2820013692066.429
265,2925433461769.377
266,3059604077754.9473
267,3327945309726.0884
268,3749624388537.8804
269,2922636191081.2676
270,3028055960784.216
271,3162226576769.7856
272,3430567808740.927
273,3852246887552.7188
274,3021423837891.493
275,3126843607594.4414
276,3261014223580.011
277,3529355455551.1523
278,3951034534362.9443
279,3027173731819.2925
